Date,Ticker,Open,High,Low,Close
08/31/1791,_SPXD,2.666,2.666,2.666,2.666
09/30/1791,_SPXD,2.1926433,2.1926433,2.1926433,2.1926433
10/31/1791,_SPXD,2.3576461,2.3576461,2.3576461,2.3576461
11/30/1791,_SPXD,2.2299718,2.2299718,2.2299718,2.2299718
12/31/1791,_SPXD,2.3489902,2.3489902,2.3489902,2.3489902
01/31/1792,_SPXD,2.4961402,2.4961402,2.4961402,2.4961402
02/29/1792,_SPXD,2.2975959,2.2975959,2.2975959,2.2975959
03/31/1792,_SPXD,2.3500722,2.3500722,2.3500722,2.3500722
04/30/1792,_SPXD,2.5621413,2.5621413,2.5621413,2.5621413
05/31/1792,_SPXD,2.51237,2.51237,2.51237,2.51237
06/30/1792,_SPXD,2.5989288,2.5989288,2.5989288,2.5989288
07/31/1792,_SPXD,2.6725038,2.6725038,2.6725038,2.6725038
08/31/1792,_SPXD,2.7136193,2.7136193,2.7136193,2.7136193
09/30/1792,_SPXD,2.7007707,2.7007707,2.7007707,2.7007707
10/31/1792,_SPXD,2.6591413,2.6591413,2.6591413,2.6591413
11/30/1792,_SPXD,2.6211095,2.6211095,2.6211095,2.6211095
12/31/1792,_SPXD,2.5635399,2.5635399,2.5635399,2.5635399
01/31/1793,_SPXD,2.542544,2.542544,2.542544,2.542544
02/28/1793,_SPXD,2.347146,2.347146,2.347146,2.347146
03/31/1793,_SPXD,2.3569667,2.3569667,2.3569667,2.3569667
04/30/1793,_SPXD,2.4179227,2.4179227,2.4179227,2.4179227
05/31/1793,_SPXD,2.413859,2.413859,2.413859,2.413859
06/30/1793,_SPXD,2.3948949,2.3948949,2.3948949,2.3948949
07/31/1793,_SPXD,2.4145363,2.4145363,2.4145363,2.4145363
08/31/1793,_SPXD,2.4362095,2.4362095,2.4362095,2.4362095
09/30/1793,_SPXD,2.4734605,2.4734605,2.4734605,2.4734605
10/31/1793,_SPXD,2.5716674,2.5716674,2.5716674,2.5716674
11/30/1793,_SPXD,2.5879223,2.5879223,2.5879223,2.5879223
12/31/1793,_SPXD,2.5743766,2.5743766,2.5743766,2.5743766
01/31/1794,_SPXD,2.6123048,2.6123048,2.6123048,2.6123048
02/28/1794,_SPXD,2.6324435,2.6324435,2.6324435,2.6324435
03/31/1794,_SPXD,2.5629742,2.5629742,2.5629742,2.5629742
04/30/1794,_SPXD,2.5311956,2.5311956,2.5311956,2.5311956
05/31/1794,_SPXD,2.5563228,2.5563228,2.5563228,2.5563228
06/30/1794,_SPXD,2.600665,2.600665,2.600665,2.600665
07/31/1794,_SPXD,2.6305959,2.6305959,2.6305959,2.6305959
08/31/1794,_SPXD,2.6547069,2.6547069,2.6547069,2.6547069
09/30/1794,_SPXD,2.6771551,2.6771551,2.6771551,2.6771551
10/31/1794,_SPXD,2.6793722,2.6793722,2.6793722,2.6793722
11/30/1794,_SPXD,2.7187258,2.7187258,2.7187258,2.7187258
12/31/1794,_SPXD,2.7142916,2.7142916,2.7142916,2.7142916
01/31/1795,_SPXD,2.921591,2.921591,2.921591,2.921591
02/28/1795,_SPXD,2.9881042,2.9881042,2.9881042,2.9881042
03/31/1795,_SPXD,2.9060713,2.9060713,2.9060713,2.9060713
04/30/1795,_SPXD,3.0241321,3.0241321,3.0241321,3.0241321
05/31/1795,_SPXD,3.0363262,3.0363262,3.0363262,3.0363262
06/30/1795,_SPXD,3.037989,3.037989,3.037989,3.037989
07/31/1795,_SPXD,3.0147094,3.0147094,3.0147094,3.0147094
08/31/1795,_SPXD,2.9605615,2.9605615,2.9605615,2.9605615
09/30/1795,_SPXD,2.9923853,2.9923853,2.9923853,2.9923853
10/31/1795,_SPXD,2.9669263,2.9669263,2.9669263,2.9669263
11/30/1795,_SPXD,2.8178295,2.8178295,2.8178295,2.8178295
12/31/1795,_SPXD,2.8061924,2.8061924,2.8061924,2.8061924
01/31/1796,_SPXD,2.7769811,2.7769811,2.7769811,2.7769811
02/29/1796,_SPXD,2.7907555,2.7907555,2.7907555,2.7907555
03/31/1796,_SPXD,2.8028676,2.8028676,2.8028676,2.8028676
04/30/1796,_SPXD,2.7795935,2.7795935,2.7795935,2.7795935
05/31/1796,_SPXD,2.804055,2.804055,2.804055,2.804055
06/30/1796,_SPXD,2.7888556,2.7888556,2.7888556,2.7888556
07/31/1796,_SPXD,2.779356,2.779356,2.779356,2.779356
08/31/1796,_SPXD,2.7487196,2.7487196,2.7487196,2.7487196
09/30/1796,_SPXD,2.7157084,2.7157084,2.7157084,2.7157084
10/31/1796,_SPXD,2.7214082,2.7214082,2.7214082,2.7214082
11/30/1796,_SPXD,2.6817472,2.6817472,2.6817472,2.6817472
12/31/1796,_SPXD,2.6696352,2.6696352,2.6696352,2.6696352
01/31/1797,_SPXD,2.6071751,2.6071751,2.6071751,2.6071751
02/28/1797,_SPXD,2.6418487,2.6418487,2.6418487,2.6418487
03/31/1797,_SPXD,2.660373,2.660373,2.660373,2.660373
04/30/1797,_SPXD,2.6689227,2.6689227,2.6689227,2.6689227
05/31/1797,_SPXD,2.7149959,2.7149959,2.7149959,2.7149959
06/30/1797,_SPXD,2.7073962,2.7073962,2.7073962,2.7073962
07/31/1797,_SPXD,2.6757648,2.6757648,2.6757648,2.6757648
08/31/1797,_SPXD,2.6664614,2.6664614,2.6664614,2.6664614
09/30/1797,_SPXD,2.6941389,2.6941389,2.6941389,2.6941389
10/31/1797,_SPXD,2.6994884,2.6994884,2.6994884,2.6994884
11/30/1797,_SPXD,2.7278636,2.7278636,2.7278636,2.7278636
12/31/1797,_SPXD,2.7346086,2.7346086,2.7346086,2.7346086
01/31/1798,_SPXD,2.7446097,2.7446097,2.7446097,2.7446097
02/28/1798,_SPXD,2.8246186,2.8246186,2.8246186,2.8246186
03/31/1798,_SPXD,2.7761248,2.7761248,2.7761248,2.7761248
04/30/1798,_SPXD,2.7450749,2.7450749,2.7450749,2.7450749
05/31/1798,_SPXD,2.7515753,2.7515753,2.7515753,2.7515753
06/30/1798,_SPXD,2.7361088,2.7361088,2.7361088,2.7361088
07/31/1798,_SPXD,2.7522477,2.7522477,2.7522477,2.7522477
08/31/1798,_SPXD,2.7616621,2.7616621,2.7616621,2.7616621
